headword,pos,english,french,irish,ease_rating,opacity_low,opacity_mid,opacity_high,notes,examples
fear,noun,man,homme,fear,2,0.2,0.4,0.1,"Adult male, Irish-derived","fear óg (young man) | an fear (the man)"
fiche,number,twenty,vingt,fiche,3,0.6,0.1,0.7,"Number 20, French-derived","fiche duine (twenty people) | fiche euro (twenty euros)"
file,noun,daughter,fille,iníon,2,0.3,0.1,0.6,"Female offspring, French-derived","mo file (my daughter) | file óg (young daughter)"
fils,noun,son,fils,mac,2,0.3,0.1,0.5,"Male offspring, French-derived","mo fils (my son) | fils mór (big son)"
friend,noun,friend,ami,cara,1,0.1,0.3,0.5,"Companion, English-derived","mo friend (my friend) | friend maith (good friend)"
from,preposition,from,de,ó,1,0.1,0.2,0.3,"Origin marker, English-derived","from baile (from home) | ag teacht from (coming from)"
gá,noun,need,besoin,gá,3,0.5,0.6,0.1,"Necessity, Irish-derived","tá gá agam (I need) | gá mór (great need)"
gaol,noun,love,amour,grá,3,0.5,0.6,0.1,"Affection, Irish-derived","mo ghaol (my love) | gaol mór (great love)"
garden,noun,garden,jardin,gairdín,1,0.1,0.3,0.4,"Outdoor space, English-derived","sa garden (in the garden) | garden álainn (beautiful garden)"
give,verb,give,donner,tabhair,1,0.1,0.3,0.4,"Transfer/present, English-derived","give dom (give me) | ag tabhairt (giving)"
go,verb,go,aller,téigh,1,0.1,0.3,0.2,"Move/travel, English-derived","ag dul (going) | go dtí (to/until)"
grand,adjective,big,grand,mór,2,0.3,0.1,0.4,"Large size, French-derived","teach grand (big house) | fear grand (big man)"
have,verb,have,avoir,bí ag,1,0.1,0.2,0.4,"Possession, English-derived","tá agam (I have) | ag bheith ag (having)"
help,verb,help,aider,cabhair,1,0.1,0.3,0.4,"Assist, English-derived","ag cabhair (helping) | help liom (help me)"
here,adverb,here,ici,anseo,1,0.1,0.1,0.3,"This location, English-derived","anseo atá mé (here I am) | tar anseo (come here)"
house,noun,house,maison,teach,1,0.1,0.4,0.3,"Dwelling, English-derived","mo house (my house) | house mór (big house)"
inniu,adverb,today,aujourd'hui,inniu,3,0.5,0.6,0.1,"This day, Irish-derived","inniu atá ann (it is today) | ag obair inniu (working today)"
ith,verb,eat,manger,ith,3,0.4,0.5,0.1,"Consume food, Irish-derived","ag ithe (eating) | ith go tapaidh (eat quickly)"
jardin,noun,garden,jardin,gairdín,2,0.4,0.1,0.5,"Cultivated space, French-derived","sa jardin (in the garden) | jardin álainn (beautiful garden)"
kitchen,noun,kitchen,cuisine,cistin,1,0.1,0.4,0.4,"Cooking area, English-derived","sa kitchen (in the kitchen) | kitchen mhór (big kitchen)"
know,verb,know,savoir,fios,1,0.1,0.2,0.4,"Have knowledge, English-derived","tá fios agam (I know) | ag fháil amach (finding out)"
le,preposition,with,avec,le,2,0.3,0.2,0.1,"Accompaniment, Irish-derived","le mo mháthair (with my mother) | ag obair le (working with)"
leabhar,noun,book,livre,leabhar,3,0.5,0.4,0.1,"Reading material, Irish-derived","mo leabhar (my book) | leabhar maith (good book)"
like,verb,like,aimer,is maith le,1,0.1,0.3,0.5,"Enjoy/prefer, English-derived","is maith liom (I like) | like mór (really like)"
little,adjective,little,petit,beag,1,0.1,0.2,0.3,"Small size, English-derived","little cat (small cat) | little bit (small amount)"
live,verb,live,habiter,cónaigh,1,0.1,0.3,0.4,"Reside, English-derived","ag cónaí (living) | live anseo (live here)"
look,verb,look,regarder,féach,1,0.1,0.3,0.4,"See/observe, English-derived","ag féachaint (looking) | look ar (look at)"
love,noun,love,amour,grá,1,0.1,0.2,0.4,"Deep affection, English-derived","mo love (my love) | love mór (great love)"
lunch,noun,lunch,déjeuner,lón,1,0.1,0.4,0.3,"Midday meal, English-derived","ag ithe lunch (eating lunch) | lunch maith (good lunch)"
mac,noun,son,fils,mac,3,0.4,0.4,0.1,"Male offspring, Irish-derived","mo mhac (my son) | mac óg (young son)"
madra,noun,dog,chien,madra,3,0.5,0.5,0.1,"Canine, Irish-derived","madra beag (small dog) | mo mhadra (my dog)"
make,verb,make,faire,déan,1,0.1,0.2,0.4,"Create/produce, English-derived","ag déanamh (making) | make dinner (make dinner)"
maman,noun,mother,mère/maman,máthair,2,0.3,0.1,0.5,"Female parent, French-derived","mo maman (my mother) | maman milis (sweet mother)"
manger,verb,eat,manger,ith,2,0.4,0.1,0.5,"Consume food, French-derived","ag manger (eating) | manger ensemble (eat together)"
máthair,noun,mother,mère,máthair,3,0.5,0.6,0.1,"Female parent, Irish-derived","mo mháthair (my mother) | máthair mhaith (good mother)"
me,pronoun,me,moi,mé,1,0.1,0.1,0.1,"First person object, English-derived","give me (tabhair dom) | with me (liom)"
mé,pronoun,I,je,mé,2,0.3,0.3,0.1,"First person subject, Irish-derived","táim (I am) | is mise (it is I)"
morning,noun,morning,matin,maidin,1,0.1,0.3,0.4,"Early day, English-derived","sa morning (in the morning) | morning maith (good morning)"
mór,adjective,big,grand,mór,3,0.4,0.4,0.1,"Large size, Irish-derived","teach mór (big house) | fear mór (big man)"
music,noun,music,musique,ceol,1,0.1,0.3,0.5,"Sound art, English-derived","ag éisteacht music (listening to music) | music álainn (beautiful music)"
my,determiner,my,mon/ma/mes,mo,1,0.1,0.1,0.1,"First person possessive, English-derived","my house (mo theach) | my family (mo chlann)"
name,noun,name,nom,ainm,1,0.1,0.3,0.4,"Identifier, English-derived","mo name (my name) | name maith (good name)"
new,adjective,new,nouveau,nua,1,0.1,0.3,0.3,"Recently made, English-derived","car new (new car) | teach nua (new house)"
nice,adjective,nice,gentil,deas,1,0.1,0.2,0.4,"Pleasant, English-derived","nice day (lá deas) | nice person (duine deas)"
night,noun,night,nuit,oíche,1,0.1,0.3,0.4,"Dark period, English-derived","sa night (at night) | oíche mhaith (good night)"
no,particle,no,non,níl,1,0.1,0.1,0.2,"Negative response, English-derived","níl (no/is not) | no problem (gan fadhb)"
now,adverb,now,maintenant,anois,1,0.1,0.3,0.3,"Present time, English-derived","anois (now) | right now (anois díreach)"
oíche,noun,night,nuit,oíche,3,0.5,0.5,0.1,"Dark hours, Irish-derived","oíche mhaith (good night) | san oíche (at night)"
old,adjective,old,vieux,sean,1,0.1,0.2,0.3,"Aged/former, English-derived","old house (seanteach) | old friend (seancara)"
one,number,one,un,a haon,1,0.1,0.1,0.2,"Number 1, English-derived","one person (duine amháin) | one day (lá amháin)"
open,verb,open,ouvrir,oscail,1,0.1,0.3,0.4,"Make accessible, English-derived","ag oscailt (opening) | open an door (oscail an doras)"
papa,noun,father,père/papa,athair,2,0.3,0.1,0.5,"Male parent, French-derived","mo papa (my father) | papa mór (big father)"
park,noun,park,parc,páirc,1,0.1,0.2,0.4,"Public space, English-derived","sa park (in the park) | park álainn (beautiful park)"
petit,adjective,small,petit,beag,2,0.4,0.1,0.5,"Small size, French-derived","chat petit (small cat) | maison petite (small house)"
phone,noun,phone,téléphone,fón,1,0.1,0.3,0.4,"Communication device, English-derived","mo phone (my phone) | ar an phone (on the phone)"
play,verb,play,jouer,imir,1,0.1,0.3,0.5,"Engage in games, English-derived","ag imirt (playing) | play sa garden (play in the garden)"
please,particle,please,s'il vous plaît,le do thoil,1,0.1,0.4,0.6,"Polite request, English-derived","please help (cabhair le do thoil) | come please (tar le do thoil)"
pretty,adjective,pretty,joli,álainn,1,0.1,0.2,0.4,"Attractive, English-derived","pretty house (teach álainn) | pretty day (lá álainn)"
put,verb,put,mettre,cuir,1,0.1,0.3,0.3,"Place/position, English-derived","ag cur (putting) | put anseo (put here)"
read,verb,read,lire,léigh,1,0.1,0.3,0.4,"Interpret text, English-derived","ag léamh (reading) | read book (léigh leabhar)"
right,adjective,right,correct,ceart,1,0.1,0.2,0.3,"Correct/proper, English-derived","right answer (freagra ceart) | you're right (tá tú ceart)"
room,noun,room,chambre,seomra,1,0.1,0.3,0.4,"Interior space, English-derived","mo room (mo sheomra) | big room (seomra mór)"
run,verb,run,courir,rith,1,0.1,0.3,0.3,"Move quickly, English-derived","ag rith (running) | run fast (rith go tapa)"
say,verb,say,dire,abair,1,0.1,0.3,0.3,"Speak/state, English-derived","ag rá (saying) | say hello (abair fáilte)"
school,noun,school,école,scoil,1,0.1,0.3,0.4,"Educational institution, English-derived","ag dul school (going to school) | sa school (at school)"
see,verb,see,voir,feic,1,0.1,0.2,0.3,"Perceive visually, English-derived","ag feiceáil (seeing) | see you (feicfidh mé thú)"
she,pronoun,she,elle,sí,1,0.1,0.1,0.1,"Third person female, English-derived","she is (tá sí) | she comes (tagann sí)"
sit,verb,sit,s'asseoir,suigh,1,0.1,0.3,0.3,"Be seated, English-derived","ag suí (sitting) | sit anseo (sit here)"
sleep,verb,sleep,dormir,codail,1,0.1,0.3,0.3,"Rest state, English-derived","ag codladh (sleeping) | go to sleep (téigh a chodladh)"
small,adjective,small,petit,beag,1,0.1,0.2,0.3,"Little size, English-derived","small house (teach beag) | small child (páiste beag)"
some,determiner,some,quelque,roinnt,1,0.1,0.2,0.4,"Indefinite quantity, English-derived","some food (roinnt bia) | some people (roinnt daoine)"
speak,verb,speak,parler,labhair,1,0.1,0.3,0.4,"Use language, English-derived","ag caint (speaking) | speak Irish (labhair Gaeilge)"
table,noun,table,table,bord,1,0.1,0.1,0.4,"Furniture surface, English/French-derived","ar an table (on the table) | big table (bord mór)"
take,verb,take,prendre,tóg,1,0.1,0.3,0.3,"Grasp/bring, English-derived","ag tógáil (taking) | take home (tóg abhaile)"
talk,verb,talk,parler,caint,1,0.1,0.3,0.3,"Converse, English-derived","ag caint (talking) | talk together (caint le chéile)"
teach,noun,house,maison,teach,3,0.4,0.5,0.1,"Dwelling, Irish-derived","mo theach (my house) | teach mór (big house)"
tell,verb,tell,raconter,inis,1,0.1,0.3,0.4,"Narrate/inform, English-derived","ag insint (telling) | tell story (inis scéal)"
thank,verb,thank,remercier,go raibh maith agat,1,0.1,0.3,0.6,"Express gratitude, English-derived","go raibh maith agat (thank you) | thanks (míle buíochas)"
that,determiner,that,ce/cette,sin,1,0.1,0.1,0.2,"Distal demonstrative, English-derived","that house (an teach sin) | that person (an duine sin)"
the,determiner,the,le/la/les,an/na,1,0.1,0.1,0.1,"Definite article, English-derived","the house (an teach) | the family (an chlann)"
there,adverb,there,là,ansin,1,0.1,0.1,0.3,"That location, English-derived","over there (thall ansin) | go there (téigh ansin)"
they,pronoun,they,ils/elles,siad,1,0.1,0.1,0.1,"Third person plural, English-derived","they are (tá siad) | they come (tagann siad)"
think,verb,think,penser,ceap,1,0.1,0.3,0.3,"Use mind, English-derived","ag ceapadh (thinking) | I think (ceapaim)"
this,determiner,this,ce/cette,seo,1,0.1,0.1,0.2,"Proximal demonstrative, English-derived","this house (an teach seo) | this morning (ar maidin)"
time,noun,time,temps,am,1,0.1,0.1,0.3,"Duration/moment, English-derived","what time (cén t-am) | good time (am maith)"
today,adverb,today,aujourd'hui,inniu,1,0.1,0.3,0.3,"This day, English-derived","today is (inniu atá) | come today (tar inniu)"
together,adverb,together,ensemble,le chéile,1,0.1,0.2,0.4,"In unity, English-derived","work together (obair le chéile) | eat together (ith le chéile)"
tomorrow,adverb,tomorrow,demain,amárach,1,0.1,0.3,0.4,"Next day, English-derived","see you tomorrow (feicfidh mé amárach thú) | tomorrow morning (amárach ar maidin)"
too,adverb,too,trop/aussi,freisin,1,0.1,0.2,0.3,"Also/excessive, English-derived","me too (mise freisin) | too much (an iomarca)"
try,verb,try,essayer,triail,1,0.1,0.3,0.4,"Attempt, English-derived","ag triail (trying) | try again (triail arís)"
two,number,two,deux,a dó,1,0.1,0.1,0.2,"Number 2, English-derived","two people (beirt) | two houses (dhá theach)"
un,number,one,un,aon,2,0.3,0.1,0.3,"Number 1, French-derived","un chat (one cat) | un jour (one day)"
under,preposition,under,sous,faoi,1,0.1,0.3,0.4,"Below/beneath, English-derived","under table (faoin mbord) | under house (faoin teach)"
up,adverb,up,en haut,suas,1,0.1,0.2,0.3,"Upward direction, English-derived","go up (téigh suas) | up there (suas ansin)"
use,verb,use,utiliser,úsáid,1,0.1,0.3,0.4,"Employ/utilize, English-derived","ag úsáid (using) | use phone (úsáid an fón)"
very,adverb,very,très,an-,1,0.1,0.1,0.2,"Intensifier, English-derived","very good (an-mhaith) | very big (an-mhór)"
want,verb,want,vouloir,ba mhaith le,1,0.1,0.2,0.4,"Desire, English-derived","ba mhaith liom (I want) | want food (ag iarraidh bia)"
water,noun,water,eau,uisce,1,0.1,0.3,0.3,"H2O, English-derived","drink water (ól uisce) | cold water (uisce fuar)"
way,noun,way,chemin,bealach,1,0.1,0.3,0.4,"Path/method, English-derived","this way (an bealach seo) | good way (bealach maith)"
we,pronoun,we,nous,muid,1,0.1,0.1,0.1,"First person plural, English-derived","we are (táimid) | we go (téimid)"
week,noun,week,semaine,seachtain,1,0.1,0.3,0.4,"Seven days, English-derived","this week (an tseachtain seo) | next week (an tseachtain seo chugainn)"
well,adverb,well,bien,go maith,1,0.1,0.1,0.3,"In good manner, English-derived","very well (go han-mhaith) | sleep well (codail go maith)"
what,pronoun,what,quoi/que,cad/céard,1,0.1,0.2,0.3,"Interrogative, English-derived","what is (cad é) | what time (cén t-am)"
when,adverb,when,quand,cathain,1,0.1,0.2,0.4,"Time question, English-derived","when coming (cathain ag teacht) | when is (cathain atá)"
where,adverb,where,où,cá háit,1,0.1,0.2,0.4,"Place question, English-derived","where is (cá bhfuil) | where going (cá háit ag dul)"
who,pronoun,who,qui,cé,1,0.1,0.1,0.2,"Person question, English-derived","who is (cé hé) | who comes (cé a thagann)"
why,adverb,why,pourquoi,cén fáth,1,0.1,0.2,0.4,"Reason question, English-derived","why not (cén fáth nach) | why here (cén fáth anseo)"
window,noun,window,fenêtre,fuinneog,1,0.1,0.4,0.4,"Opening for light, English-derived","open window (fuinneog oscailte) | by window (cois na fuinneoige)"
with,preposition,with,avec,le,1,0.1,0.1,0.2,"Accompaniment, English-derived","with family (leis an gclann) | with me (liom)"
work,verb,work,travailler,oibir,1,0.1,0.3,0.3,"Labor/function, English-derived","ag obair (working) | work hard (oibir go crua)"
write,verb,write,écrire,scríobh,1,0.1,0.3,0.4,"Make text, English-derived","ag scríobh (writing) | write letter (scríobh litir)"
year,noun,year,année,bliain,1,0.1,0.2,0.4,"365 days, English-derived","this year (an bhliain seo) | next year (an bhliain seo chugainn)"
yes,particle,yes,oui,tá,1,0.1,0.1,0.1,"Affirmative response, English-derived","yes please (tá le do thoil) | yes indeed (tá go deimhin)"
you,pronoun,you,tu/vous,tú,1,0.1,0.1,0.1,"Second person, English-derived","you are (tá tú) | see you (feicfidh mé thú)"
young,adjective,young,jeune,óg,1,0.1,0.2,0.3,"Not old, English-derived","young person (duine óg) | young family (clann óg)"
your,determiner,your,ton/ta/tes/votre,do,1,0.1,0.1,0.2,"Second person possessive, English-derived","your house (do theach) | your family (do chlann)"
à,preposition,to,à,go dtí,2,0.4,0.1,0.4,"Direction marker, French-derived","à la maison (go dtí an teach) | à demain (go dtí amárach)"
âge,noun,age,âge,aois,2,0.4,0.1,0.4,"Life duration, French-derived","quel âge (cén aois) | mon âge (mo aois)"
ami,noun,friend,ami,cara,2,0.3,0.1,0.4,"Companion, French-derived","mon ami (mo chara) | bon ami (cara maith)"
après,adverb,after,après,ina dhiaidh,2,0.4,0.1,0.5,"Following time, French-derived","après dinner (ina dhiaidh an dinnéir) | après ça (ina dhiaidh sin)"
aussi,adverb,also,aussi,freisin,2,0.3,0.1,0.4,"Additionally, French-derived","moi aussi (mise freisin) | très aussi (an-freisin)"
avant,adverb,before,avant,roimh,2,0.4,0.1,0.5,"Earlier time, French-derived","avant dinner (roimh an dinnéar) | avant ça (roimhe sin)"
avec,preposition,with,avec,le,2,0.3,0.1,0.3,"Accompaniment, French-derived","avec famille (leis an gclann) | avec moi (liom)"
avoir,verb,have,avoir,bheith ag,2,0.3,0.1,0.4,"Possess, French-derived","j'ai (tá agam) | avoir besoin (bheith ag teastáil)"
bien,adverb,well,bien,go maith,2,0.3,0.1,0.3,"In good manner, French-derived","très bien (go han-mhaith) | bien sûr (cinnte)"
boire,verb,drink,boire,ól,2,0.4,0.1,0.3,"Consume liquid, French-derived","boire eau (ól uisce) | boire ensemble (ól le chéile)"
bon,adjective,good,bon,maith,2,0.3,0.1,0.3,"Positive quality, French-derived","bon jour (lá maith) | très bon (an-mhaith)"
bonjour,interjection,hello,bonjour,dia duit,2,0.4,0.1,0.4,"Greeting, French-derived","bonjour famille (dia duit chlann) | bonjour tout le monde (dia daoibh)"
bonsoir,interjection,good evening,bonsoir,tráthnóna maith,2,0.4,0.1,0.5,"Evening greeting, French-derived","bonsoir famille (tráthnóna maith chlann)"
ça,pronoun,that,ça,sin,2,0.3,0.1,0.2,"That thing, French-derived","ça va (tá sin ceart go leor) | ça marche (oibríonn sin)"
chaud,adjective,hot,chaud,te,2,0.4,0.1,0.3,"High temperature, French-derived","très chaud (an-te) | eau chaude (uisce te)"
chez,preposition,at/by,chez,ag,2,0.4,0.1,0.4,"At someone's place, French-derived","chez moi (ag mo theach) | chez famille (ag an gclann)"
comment,adverb,how,comment,conas,2,0.3,0.1,0.4,"Manner question, French-derived","comment allez-vous (conas atá tú) | comment ça va (conas atá tú)"
dans,preposition,in,dans,i,2,0.3,0.1,0.3,"Interior location, French-derived","dans maison (sa teach) | dans cuisine (sa chistin)"
demain,adverb,tomorrow,demain,amárach,2,0.4,0.1,0.4,"Next day, French-derived","à demain (go dtí amárach) | demain matin (amárach ar maidin)"
déjeuner,noun,lunch,déjeuner,lón,2,0.4,0.1,0.4,"Midday meal, French-derived","prendre déjeuner (ól lón) | bon déjeuner (lón maith)"
eau,noun,water,eau,uisce,2,0.3,0.1,0.3,"H2O, French-derived","boire eau (ól uisce) | eau froide (uisce fuar)"
écouter,verb,listen,écouter,éist,2,0.4,0.1,0.4,"Hear attentively, French-derived","écouter musique (éist le ceol) | écouter bien (éist go maith)"
elle,pronoun,she,elle,sí,2,0.3,0.1,0.1,"Third person feminine, French-derived","elle est (tá sí) | elle vient (tagann sí)"
encore,adverb,again,encore,arís,2,0.3,0.1,0.4,"Once more, French-derived","encore une fois (uair amháin eile) | encore ça (sin arís)"
enfant,noun,child,enfant,páiste,2,0.3,0.1,0.4,"Young person, French-derived","mon enfant (mo pháiste) | petit enfant (páiste beag)"
ensemble,adverb,together,ensemble,le chéile,2,0.3,0.1,0.4,"In unity, French-derived","manger ensemble (ithe le chéile) | travailler ensemble (obair le chéile)"
être,verb,be,être,bí,2,0.3,0.1,0.2,"Exist/copula, French-derived","je suis (táim) | être content (bheith sásta)"
faire,verb,do/make,faire,déan,2,0.3,0.1,0.3,"Create/perform, French-derived","faire dinner (déan dinnéar) | faire attention (tabhair aire)"
fille,noun,girl,fille,cailín,2,0.3,0.1,0.4,"Young female, French-derived","petite fille (cailín beag) | ma fille (mo chailín)"
froid,adjective,cold,froid,fuar,2,0.4,0.1,0.3,"Low temperature, French-derived","très froid (an-fhuar) | eau froide (uisce fuar)"
gentil,adjective,kind,gentil,cineálta,2,0.4,0.1,0.5,"Nice/kind, French-derived","très gentil (an-chineálta) | homme gentil (fear cineálta)"
grand,adjective,big,grand,mór,2,0.3,0.1,0.3,"Large, French-derived","grand maison (teach mór) | très grand (an-mhór)"
hier,adverb,yesterday,hier,inné,2,0.4,0.1,0.4,"Previous day, French-derived","hier soir (inné tráthnóna) | hier matin (inné ar maidin)"
ici,adverb,here,ici,anseo,2,0.3,0.1,0.3,"This location, French-derived","venir ici (tar anseo) | ici c'est (anseo atá)"
il,pronoun,he,il,sé,2,0.3,0.1,0.1,"Third person masculine, French-derived","il est (tá sé) | il vient (tagann sé)"
ils,pronoun,they,ils,siad,2,0.3,0.1,0.1,"Third person plural masculine, French-derived","ils sont (tá siad) | ils viennent (tagann siad)"
je,pronoun,I,je,mé,2,0.3,0.1,0.1,"First person singular, French-derived","je suis (táim) | je viens (tagaim)"
jouer,verb,play,jouer,imir,2,0.3,0.1,0.4,"Engage in games, French-derived","jouer ensemble (imir le chéile) | jouer dehors (imir amuigh)"
jour,noun,day,jour,lá,2,0.3,0.1,0.2,"24-hour period, French-derived","bon jour (lá maith) | chaque jour (gach lá)"
là,adverb,there,là,ansin,2,0.3,0.1,0.3,"That location, French-derived","là-bas (thall ansin) | aller là (dul ansin)"
lire,verb,read,lire,léigh,2,0.3,0.1,0.4,"Interpret text, French-derived","lire livre (léigh leabhar) | lire ensemble (léigh le chéile)"
livre,noun,book,livre,leabhar,2,0.3,0.1,0.4,"Reading material, French-derived","mon livre (mo leabhar) | bon livre (leabhar maith)"
maintenant,adverb,now,maintenant,anois,2,0.4,0.1,0.4,"Present time, French-derived","maintenant ici (anois anseo) | tout maintenant (anois díreach)"
maison,noun,house,maison,teach,2,0.3,0.1,0.3,"Dwelling, French-derived","ma maison (mo theach) | grande maison (teach mór)"
manger,verb,eat,manger,ith,2,0.3,0.1,0.3,"Consume food, French-derived","manger ensemble (ith le chéile) | manger bien (ith go maith)"
matin,noun,morning,matin,maidin,2,0.3,0.1,0.4,"Early day, French-derived","ce matin (ar maidin) | bon matin (maidin mhaith)"
merci,interjection,thank you,merci,go raibh maith agat,2,0.3,0.1,0.5,"Gratitude expression, French-derived","merci beaucoup (go raibh míle maith agat)"
mère,noun,mother,mère,máthair,2,0.3,0.1,0.4,"Female parent, French-derived","ma mère (mo mháthair) | bonne mère (máthair mhaith)"
mettre,verb,put,mettre,cuir,2,0.3,0.1,0.3,"Place/position, French-derived","mettre ici (cuir anseo) | mettre table (cuir ar an mbord)"
moi,pronoun,me,moi,mé,2,0.3,0.1,0.1,"First person object, French-derived","avec moi (liom) | pour moi (domsa)"
mon,determiner,my,mon,mo,2,0.3,0.1,0.1,"First person possessive masculine, French-derived","mon fils (mo mhac) | mon livre (mo leabhar)"
musique,noun,music,musique,ceol,2,0.3,0.1,0.4,"Sound art, French-derived","écouter musique (éist le ceol) | belle musique (ceol álainn)"
non,particle,no,non,níl,2,0.3,0.1,0.2,"Negative response, French-derived","non merci (níl go raibh maith agat) | non pas (ní hea)"
nous,pronoun,we,nous,muid,2,0.3,0.1,0.1,"First person plural, French-derived","nous sommes (táimid) | nous allons (téimid)"
nuit,noun,night,nuit,oíche,2,0.3,0.1,0.3,"Dark period, French-derived","bonne nuit (oíche mhaith) | cette nuit (anocht)"
où,adverb,where,où,cá háit,2,0.3,0.1,0.4,"Place question, French-derived","où est (cá bhfuil) | où aller (cá háit dul)"
oui,particle,yes,oui,tá,2,0.3,0.1,0.1,"Affirmative response, French-derived","oui merci (tá go raibh maith agat) | oui bien sûr (tá cinnte)"
parler,verb,speak,parler,labhair,2,0.3,0.1,0.4,"Use language, French-derived","parler français (labhair Fraincís) | parler ensemble (labhair le chéile)"
père,noun,father,père,athair,2,0.3,0.1,0.4,"Male parent, French-derived","mon père (m'athair) | bon père (athair maith)"
petit,adjective,small,petit,beag,2,0.3,0.1,0.3,"Little size, French-derived","petit enfant (páiste beag) | très petit (an-bheag)"
peut-être,adverb,maybe,peut-être,b'fhéidir,2,0.5,0.1,0.5,"Possibly, French-derived","peut-être oui (b'fhéidir sea) | peut-être demain (b'fhéidir amárach)"
pourquoi,adverb,why,pourquoi,cén fáth,2,0.4,0.1,0.4,"Reason question, French-derived","pourquoi pas (cén fáth nach) | pourquoi ici (cén fáth anseo)"
prendre,verb,take,prendre,tóg,2,0.3,0.1,0.3,"Grasp/consume, French-derived","prendre livre (tóg leabhar) | prendre temps (tóg am)"
quand,adverb,when,quand,cathain,2,0.3,0.1,0.4,"Time question, French-derived","quand venir (cathain teacht) | quand ça (cathain sin)"
que,pronoun,what/that,que,cad/go,2,0.3,0.1,0.2,"Interrogative/relative, French-derived","qu'est-ce que (cad é) | que faire (cad a dhéanamh)"
qui,pronoun,who,qui,cé,2,0.3,0.1,0.2,"Person question, French-derived","qui est (cé hé) | qui vient (cé a thagann)"
regarder,verb,look,regarder,féach,2,0.4,0.1,0.4,"See/observe, French-derived","regarder ici (féach anseo) | regarder télé (féach ar an teilifís)"
savoir,verb,know,savoir,fios,2,0.3,0.1,0.3,"Have knowledge, French-derived","je sais (tá fios agam) | savoir faire (eolas a bheith agat)"
soir,noun,evening,soir,tráthnóna,2,0.3,0.1,0.4,"Late day, French-derived","ce soir (anocht) | bon soir (tráthnóna maith)"
